step,temperature,pressure,density,volume
0,0,-2.0380644308443991441,0.58803703703703702477,27000
1000,0.93023297884209943387,0.22296102497226807926,0.72900953165303461478,21778.864761889715737
2000,1.1459723715035234903,0.080282724122114984544,0.57947961573625506038,27398.720453397749225
3000,1.1395969839060162698,0.090392070191945173008,0.55705877587574581522,28501.480790855413943
4000,1.1462544836993442399,0.048957577703364521526,0.54291701146796422783,29243.88012280372277
5000,1.143390411456968625,0.035822894329839906347,0.55568078568454370991,28572.159428620710969
6000,1.1496504725311691431,0.077848144771229088601,0.54389644034991013744,29191.218809569149016
