step,temperature,pressure,density,volume
0,0,-2.0197147352456981118,0.58800913675735577701,16581.375
100,0.13456171325578888953,-1.0051030027936052047,0.67376503959869460392,14470.920019547553238
200,0.27742657868005854427,-0.5024854992797790354,0.72974404266721148993,13360.849051077950207
300,0.4052489322652674808,-0.19251832308025529361,0.76781693900787340024,12698.339284619534737
400,0.52704882004284225872,0.040371396080484976687,0.78771592382659127995,12377.558590711410943
500,0.61912810362803893938,0.12682411512267363629,0.78710941173918658187,12387.096196012354994
600,0.69011527843066622356,0.12916297446026342444,0.77523989113165292508,12576.752191850553572
700,0.75923095332216172793,0.15161904670551362706,0.76042640404595540637,12821.753621552008553
800,0.82348270426116454423,0.17426080159926915503,0.74257513335989311365,13129.984511984201163
900,0.88674989294316741706,0.1630501509135870164,0.72333061674084053738,13479.313296499505668
1000,0.93479426198647730395,0.19570019248639608511,0.70490163895523250126,13831.717024308425607
1100,0.98851197950057667629,0.24257089596446332336,0.68786462494402844658,14174.300649336862989
1200,1.0570900081216272337,0.20380442297702294763,0.66988865930864094356,14554.657500938281373
1300,1.0843801407493784961,0.19054624407002915265,0.64871144534624303191,15029.79494187286582
1400,1.1264405112716797674,0.19842917109523525165,0.63197563325092109832,15427.810008821710653
1500,1.1555599182743425679,0.1357627677175039238,0.61538730260719975984,15843.680814817527789
1600,1.1518219614321074662,0.17458180501152212316,0.60105311807631534027,16221.528026017242155
1700,1.1558020860989048906,0.11707543436698894523,0.58972879948187284516,16533.023329649506195
1800,1.1596126598435787525,0.053688822071399494584,0.57845346969541655557,16855.288300256615912
1900,1.1443057341245228553,0.070390549571922089722,0.56883355598339646608,17140.339027897625783
2000,1.1571015247133820125,0.11453910623784968603,0.56466631138784484367,17266.834949009640695
2100,1.1475685919731972717,0.079465426578280262682,0.55706894465728995502,17502.32191815722399
2200,1.139311798833828604,0.12044281861754249641,0.55330815965256374689,17621.28360102672741
2300,1.1560145980022538126,0.06355292949494957544,0.55107059337399233456,17692.8330366977425
2400,1.1577177304729540097,0.070116307016942353014,0.54955566380697307149,17741.605886577865022
2500,1.1466568996557571225,0.020516646950466701366,0.5473891686522172062,17811.824855808659777
2600,1.1343821132934046592,0.09052707453004317506,0.54585200509991627094,17861.98440036012471
2700,1.1434495687922614504,0.083821458066230591921,0.54334789499459235085,17944.304357886649086
2800,1.1464215073507111331,0.06351342197371977194,0.5406330314194142117,18034.41416519019549
2900,1.1611877396803997886,0.032630712789809133978,0.54074957506761400783,18030.527344900612661
3000,1.1554900057674160063,0.048584254317828735881,0.54112677789074126178,18017.958819196745026
3100,1.1400139393805575061,0.027976323734806518573,0.53934923383330168889,18077.340966453401052
3200,1.1586260003844457422,0.096899688159679975286,0.54507702649251432714,17887.38017953119197
3300,1.1430232874700316792,0.049613963551866036017,0.5433479484037001539,17944.302594027431041
3400,1.1374487103764940876,0.099445032762692245343,0.54327637439185405555,17946.666668349407701
3500,1.1420743523902070482,0.095000514039848424352,0.54339647815931491071,17942.700020851920272
3600,1.1524565897770919776,0.11869661395727754138,0.54456192771023304022,17904.299775411538576
3700,1.1405241214648784709,0.072692024902384563823,0.5405640455534257427,18036.715686515955895
3800,1.1636862283881850288,0.069422873777046534283,0.54151581242048640874,18005.01439915319861
3900,1.152940915019851742,0.010870738860471931136,0.53866255510732996559,18100.385682196316338
4000,1.1457686954853221195,0.07399358432746157288,0.54158808789053514143,18002.611612038730527
4100,1.1350110306360099433,0.00986158181927722019,0.53947441152574771017,18073.146365598578996
4200,1.1452491320807063335,0.11167975394122656163,0.5429832713036111258,17956.354302761294093
4300,1.1490423943852816624,0.072576087911258385654,0.53923718093380257343,18081.097418237786769
4400,1.1603195611464713899,0.048327483232991789996,0.53771328041064891945,18132.339957372772915
4500,1.1412683088007151699,0.039473366023476445796,0.53539743090075286869,18210.770984830083762
4600,1.1563525675142936056,0.018480970248470649647,0.53707950843787566342,18153.736731379667617
4700,1.1593902897454202439,0.039196816084408135639,0.53948631897912313615,18072.747458082070807
4800,1.1566941283040828026,0.056355554001662207242,0.54268408740927343015,17966.253712257625011
4900,1.1442276638347270712,0.059134457908296592099,0.5440347149606539201,17921.650460679051321
5000,1.1287935412937017965,0.0405491273256044088,0.54342488085407081311,17941.762226043945702
5100,1.1613915330917381485,0.072955913129117172522,0.54829238574277983087,17782.482948019660398
5200,1.1582545292386703384,0.040200346298818717683,0.54634010229023055594,17846.026603444421198
5300,1.1468249833239936297,0.078844541379371441137,0.54900434707507117515,17759.422219414191204
5400,1.1372657390859222115,0.090662225088151388031,0.54960584208759921676,17739.986101614238578
5500,1.1377139501646702513,0.071761493313088439705,0.54966970592079300584,17737.92496653429771
5600,1.1487499614649445689,0.087515138766140893045,0.55070079078492284452,17704.713999235711526
5700,1.1388639723597280273,0.064593154183984480277,0.54756738059440124289,17806.027797740753158
5800,1.1664798383613477206,0.058529282284052394636,0.54945121472119773376,17744.978514511683898
