step,epair,temperature,pressure,density,volume
0,-1484.4470161230701706,0,19374.806445454159984,1.002139390190229129,8000
100,-2679.8123034173695487,71.324803981848901913,5600.5558962412324036,1.0544899553494202493,8000
200,-2755.8443826953421194,84.240884982376968537,8496.4049724487013009,1.0694472596806179343,8000
300,-2764.9907429058871458,111.87101004181573671,7656.1936625881216969,1.073186585763417078,8000
400,-2753.5423308203889974,143.0690200650263364,8893.8892289224222623,1.0769259118462159996,8000
500,-2818.9575646684147614,150.29084785565237325,6837.0415060377017653,1.073186585763417078,8000
600,-2683.3444437654161447,160.27258822419554463,6207.7225431969254714,1.0507506292666208836,8000
700,-2703.0227736395804641,178.64404856471676908,5547.4941556866906467,1.0582292814322198371,8000
800,-2755.3562294064681737,200.90461362632689202,8669.9190075277820142,1.0731865857634173,8000
900,-2769.6590656938633401,203.76952285762058636,9484.6289502962263214,1.0731865857634173,8000
1000,-2718.6358730956585532,214.78077465428970072,6003.7497784999859505,1.0507506292666206615,8000
1100,-2640.6530549004414752,232.21499673000377584,6718.0938438868524827,1.0432719771010219301,8000
1200,-2697.5725301591292009,233.35221817543236966,6665.8715043535776203,1.0582292814322198371,8000
1300,-2665.5155264238751442,239.20269825017297194,6154.9392990600999838,1.0395326510182227864,8000
1400,-2719.1316775078603314,242.65005099298429059,6942.7607071196380275,1.0507506292666202175,8000
1500,-2736.3464747240573161,247.77115011691756763,9425.6595389532722038,1.0619686075150192028,8000
1600,-2644.4770371882705149,252.38670914956384195,7893.0175005438413791,1.0357933249354236427,8000
1700,-2691.8642828403121712,261.81814497830691835,7735.1922159364776235,1.0470113031838215178,8000
1800,-2675.6166841048639071,280.67540220986552413,10215.370763414097382,1.0619686075150187587,8000
1900,1199.1281713297707938,287.3922051895224854,51853.712329527064867,1.0395326510182227864,8000
2000,1124.0437077794726974,295.71704278479370487,52796.092588413986959,1.0544899553494202493,8000
2100,1102.3441272318571009,304.33605349700223996,53700.497485857958964,1.0657079335978181245,8000
2200,1245.8269825412469345,312.82768281399785337,50169.709012042396353,1.0320539988526242769,8000
2300,1155.9604852772497452,325.70119521611258051,52289.501838923584728,1.0470113031838210738,8000
2400,1249.8946184918374911,336.40443748500877064,50866.823383143877436,1.0320539988526236108,8000
2500,1653.7285178025845198,341.14882264521924071,59461.612939920945792,1.0507506292666204395,8000
2600,1177.528369897624998,350.87435642910389788,50986.558577129326295,1.0395326510182225643,8000
2700,1157.656178925167751,352.51563317470612446,52362.749026469697128,1.0507506292666208836,8000
2800,1275.5370832790454187,374.56930408189975878,50401.33343663100095,1.017096694521426592,8000
2900,1267.5351087944322899,365.71849478983972404,49309.956629990156216,1.0208360206042252916,8000
3000,1204.1449486391516075,372.0239491465052879,50532.894654443822219,1.0395326510182225643,8000
3100,1221.7380153490285011,390.27301563099695159,50363.220948620561103,1.0283146727698244671,8000
