step,pe,temperature,pressure,density,volume
5600,-19932.719241035534651,433.27489890807288475,-1232.1320740296669101,0.89999992079229629294,71263.251796415032004
5700,-19892.240068326434994,429.55329342094398726,-722.14149724892433824,0.89999992079229629294,71263.251796415032004
5800,-20052.332091178453993,433.28696197149400859,-1152.6302757372366159,0.89999992079229629294,71263.251796415032004
5900,-20057.718866389437608,423.63037292230097819,-1312.1654116173638158,0.89999992079229629294,71263.251796415032004
6000,-20023.433346158242784,416.82189300617454819,-882.7035683529607013,0.89999992079229629294,71263.251796415032004
6100,-20015.833851612202125,425.60018399313753434,-1089.7970754614070756,0.89999992079229629294,71263.251796415032004
6200,-19966.632762118399114,428.20880098821737647,-1414.3516841850671426,0.89999992079229640396,71263.251796415032004
6300,-20036.609146445320221,428.16910023214882131,-1497.5160380226363941,0.89999992079229629294,71263.251796415032004
6400,-20020.310855474286654,409.53440851952728963,-1439.0558894635855722,0.89999992079229640396,71263.251796415032004
6500,-19986.054757384903496,409.7981459779352349,-1236.5400374208879839,0.89999992079229629294,71263.251796415032004
6600,-19966.19840182428743,420.28793923870517801,-2006.7564213718001156,0.89999992079229629294,71263.251796415032004
6700,-19926.825764400222397,422.58447374905847482,-1616.6941054392239039,0.89999992079229629294,71263.251796415032004
6800,-19925.473532080126461,420.97028401270210907,-1698.4798638945662788,0.89999992079229629294,71263.251796415032004
6900,-19989.542067214177223,422.00428882802248154,-1697.6299284909305243,0.89999992079229629294,71263.251796415032004
7000,-19965.133805500001472,407.77305340090418895,-1475.6321102336933109,0.89999992079229629294,71263.251796415032004
7100,-20013.122988116891065,416.00220799105710512,-1595.2736160702254438,0.89999992079229629294,71263.251796415032004
7200,-20007.128514184540109,433.24381441093800049,-1382.5615437935357477,0.89999992079229629294,71263.251796415032004
7300,-19947.155302381557703,430.25492955652401861,-1693.8791112091628293,0.89999992079229629294,71263.251796415032004
7400,-19944.712593387590459,431.10255317763022731,-1508.1866412890317406,0.89999992079229629294,71263.251796415032004
7500,-19972.622873396176146,422.25727765507900813,-1969.9292796745819487,0.89999992079229640396,71263.251796415032004
7600,-20012.770052661126101,417.43509697582896933,-2125.6269451699217825,0.89999992079229640396,71263.251796415032004
7700,-20037.343216450077307,423.83804837365431695,-1688.2994520758466024,0.89999992079229629294,71263.251796415032004
7800,-20013.325519475511101,429.4014803158050313,-1513.5050999306174617,0.89999992079229629294,71263.251796415032004
7900,-19951.719726329200057,428.22242651623173515,-1351.6864540231611045,0.89999992079229629294,71263.251796415032004
8000,-19917.219466388167348,440.25002297551350239,-1318.4924027080701308,0.89999992079229629294,71263.251796415032004
8100,-19824.853211665234994,440.45934544961295387,-1111.5511702515398156,0.89999992079229629294,71263.251796415032004
8200,-19925.235222621486173,439.13884147275098258,-2026.1721773428503184,0.89999992079229640396,71263.251796415032004
8300,-19954.095113448209304,429.73695452220931656,-1344.2237519257707845,0.89999992079229629294,71263.251796415032004
8400,-19989.041814900665486,425.40463769186663967,-2053.3049639517544165,0.89999992079229629294,71263.251796415032004
8500,-20109.63580636955885,435.40578497413235937,-1926.2250700759045685,0.89999992079229629294,71263.251796415032004
8600,-20081.151535617289483,424.13106914966334671,-1777.5107725403474888,0.89999992079229629294,71263.251796415032004
8700,-20046.215958054774092,417.06079419664558827,-1823.2732780479748271,0.89999992079229629294,71263.251796415032004
8800,-19997.20720435459225,428.41103563571994073,-2013.2680831229256455,0.89999992079229640396,71263.251796415032004
8900,-19919.178919421588944,424.60636776145639715,-1830.0477071949030687,0.89999992079229607089,71263.251796415032004
9000,-19977.026549063288257,432.95564475687854156,-1739.0111547456140215,0.89999992079229629294,71263.251796415032004
9100,-19979.773895734491816,418.32619703049454074,-1692.2441177553525904,0.89999992079229607089,71263.251796415032004
9200,-20093.294768384941563,426.79987868299150477,-1739.7865461401422635,0.89999992079229629294,71263.251796415032004
9300,-20002.838382960260788,414.37959296359616701,-1001.3818223274224692,0.89999992079229629294,71263.251796415032004
9400,-20017.915531204536819,423.68132141673510205,-1825.7449746651725491,0.89999992079229629294,71263.251796415032004
9500,-19976.46790311001314,418.90072093713757795,-1702.3491667000650978,0.89999992079229640396,71263.251796415032004
9600,-19973.038374662897695,427.36315588473530624,-1389.2994674271376425,0.89999992079229640396,71263.251796415032004
9700,-20067.520550601700961,448.40725952089240991,-1550.8254457987172827,0.89999992079229640396,71263.251796415032004
9800,-20029.556149161682697,427.24160409069298794,-1668.9686305515876938,0.89999992079229629294,71263.251796415032004
9900,-20049.56175417688064,418.30234039076663066,-1531.4425729980080177,0.89999992079229629294,71263.251796415032004
10000,-20057.313952565928048,424.61546235495546853,-1256.1147497623505842,0.89999992079229607089,71263.251796415032004
10100,-19957.333699575101491,418.52513290320104034,-1782.8624948543185837,0.89999992079229629294,71263.251796415032004
10200,-19973.13152729049034,433.93617928729429423,-1216.7708857322215863,0.89999992079229640396,71263.251796415032004
10300,-19962.787338158352213,431.18020298209546581,-1789.2909388713301269,0.89999992079229640396,71263.251796415032004
10400,-19930.656972781642253,422.44035832305291933,-2482.7163026124212593,0.89999992079229629294,71263.251796415032004
10500,-20025.256279388879193,434.62043303995892529,-1406.1948782552547073,0.89999992079229629294,71263.251796415032004
10600,-19973.465699835916894,421.20392221212767936,-1459.7389258178591263,0.89999992079229629294,71263.251796415032004
10700,-20023.999261668745021,430.79184808460530576,-1272.7698371481251343,0.89999992079229629294,71263.251796415032004
10800,-19960.151953062555549,426.18109525670058702,-1839.8526304944564345,0.89999992079229629294,71263.251796415032004
10900,-19925.599798510291293,437.06288976580350436,-1123.9495690347437176,0.89999992079229607089,71263.251796415032004
