step,epair,temperature,pressure,density,volume
0,-14877.425360989764158,0,9094.6842829777542647,0.95989139416128899107,66816.851742081416887
100,-19631.621058688284393,594.64105773755704831,3877.6306116689174814,0.95989139416128899107,66816.851742081416887
200,-19895.790084173600917,523.15914481986885676,2158.1748803157220209,0.95989139416128899107,66816.851742081416887
300,-20113.349186992465548,465.86688579949287714,464.71997590069020134,0.95989139416128910209,66816.851742081416887
400,-20308.779799721582094,432.37839346335414348,450.52074551607978492,0.95989139416128910209,66816.851742081416887
500,-20474.991178544325521,416.97994785815541263,583.52232365847908113,0.95989139416128899107,66816.851742081416887
600,-20533.595311283119372,410.78981708502152514,-139.70508118371560613,0.95989139416128899107,66816.851742081416887
700,-20457.783670193657599,411.83623219791002157,-390.08688080366590611,0.95989139416128899107,66816.851742081416887
800,-20381.122955398896011,426.00660419708901827,-151.98518217635432848,0.95989139416128899107,66816.851742081416887
900,-20318.881942048479686,434.75917230161968519,335.39617778535284742,0.95989139416128899107,66816.851742081416887
1000,-20382.188893094891682,438.79655468326399159,223.30002989419895698,0.95989139416128899107,66816.851742081416887
1100,-20401.793973736512271,416.78489610853711156,36.952832382031616021,0.95989139416128899107,66816.851742081416887
1200,-20517.067133048854885,421.03939847882713821,-115.87494436904380279,0.95989139416128876903,66816.851742081416887
1300,-20425.745501416149636,409.45897047461215834,95.31124291277664895,0.95989139416128899107,66816.851742081416887
1400,-20372.379926856519887,422.76480839488624497,407.1916417195387794,0.95989139416128899107,66816.851742081416887
1500,-20376.430523320246721,439.21338246270761374,349.51445564691550771,0.95989139416128910209,66816.851742081416887
1600,-20385.040144038117433,438.72692478006223382,7.107374840889083778,0.95989139416128899107,66816.851742081416887
1700,-20382.984127171857835,420.83670182008540905,280.28847718921218757,0.95989139416128910209,66816.851742081416887
1800,-20466.936038199557515,419.66532575836845353,729.2239921224693262,0.95989139416128899107,66816.851742081416887
1900,-20467.26078859651534,417.38821336528110351,-337.99095684330569611,0.95989139416128876903,66816.851742081416887
2000,-20449.691099962761655,428.07077805280346183,-73.62186522557982471,0.95989139416128899107,66816.851742081416887
2100,-20339.053827160725632,423.68074562957718854,-865.60384640946449508,0.95989139416128899107,66816.851742081416887
2200,-20339.534996077622054,435.92328524962277925,-4.8033966764059581322,0.95989139416128910209,66816.851742081416887
2300,-20323.807799150035862,427.85900551042908546,123.96580224190577724,0.95989139416128899107,66816.851742081416887
2400,-20355.577514879390947,414.85724014165174367,89.420967448148672929,0.95989139416128899107,66816.851742081416887
2500,-20437.918299944380124,422.54928373932466457,-272.3682539136110563,0.95989139416128899107,66816.851742081416887
2600,-20450.676626493943331,428.48693278874702628,165.77556256009782487,0.95989139416128910209,66816.851742081416887
2700,-20444.054852459616086,425.34890742971577993,-129.01365838443021516,0.95989139416128899107,66816.851742081416887
2800,-20398.420082079872373,417.94633392632317737,-46.233505786820721539,0.95989139416128899107,66816.851742081416887
2900,-20389.687860787729733,421.94870489354184429,341.04964423427952624,0.95989139416128899107,66816.851742081416887
