step,epair,temperature,pressure,density,num,volume
0,-11875.849220727290231,0,19373.452756824517564,1.0021393901902286849,2144,64000
100,-17923.344346009504079,321.5169742705201088,-1439.8101740478948614,0.91426522724444359014,1956,64000
200,-18916.102298552461434,349.74040434143870471,-2483.8679303847184201,0.92548320549284168735,1980,64000
300,-19351.306426944222039,400.06589755479234327,-2071.8632698984747549,0.93623376798088986384,2003,64000
400,-19193.762329467172094,397.9035846963195695,-774.34654236830897389,0.94090792558438907101,2013,64000
500,-18943.287075512260344,395.52074799496051583,409.36558332446247732,0.94417983590683829398,2020,64000
600,-18962.164746671300236,435.88197245752127174,845.89216455185930954,0.94511466742753802439,2022,64000
700,-19112.338546104227134,452.22798150451444599,1186.5020985924727484,0.94791916198963743767,2028,64000
800,-19255.702562967071572,425.25746382284290803,1447.2032829196255079,0.95352815111383626423,2040,64000
900,-19283.821377319796738,413.65358887704115887,1308.5454011122278644,0.95212590383278683515,2037,64000
1000,-19529.967619595445285,421.35455359266012465,1373.4506103712515142,0.96053938751908574112,2055,64000
1100,-19704.223374710349162,433.22932336556073096,1577.6524583428556525,0.96848545544503406024,2072,64000
1200,-19610.862537094519212,429.52821278619342138,1447.0992751919552575,0.96427871360188477379,2063,64000
1300,-19598.251019144787278,422.20287015356097982,962.3768817770600208,0.9633438820811851544,2061,64000
1400,-19673.014215050501662,431.72880955355083188,852.39207568265044301,0.96287646632083523368,2060,64000
1500,-19783.851438185294683,430.25298131915235444,831.8256129966420076,0.96521354512258472624,2065,64000
1600,-19800.882160690547607,412.76430237670410861,581.87109630484724221,0.96661579240363482146,2068,64000
1700,-19711.469322310567804,415.4661192398101548,174.87924998332781001,0.96474612936223524962,2064,64000
1800,-19734.690425360466179,435.87530275919351652,166.19653407661652977,0.96521354512258528136,2065,64000
1900,-19677.795849607842683,431.26813393480119885,145.05860693691542451,0.96521354512258517033,2065,64000
2000,-19692.307010770222405,422.44019201211102654,406.34493633095644327,0.96614837664328478972,2067,64000
2100,-19823.349581216069055,425.27941709192617736,760.73374435380173963,0.96942028696573390167,2074,64000
2200,-19851.579916180759028,425.23712022747196215,625.64445402736316737,0.96988770272608382239,2075,64000
2300,-19823.731682990404806,418.34777661958474937,693.85641305537933476,0.97082253424678377485,2077,64000
2400,-19612.970440699216851,420.51324940954401654,264.11899156539880096,0.9633438820811851544,2061,64000
2500,-19728.448175242359866,436.06305687383166969,397.12208958767320155,0.96708320816398452013,2069,64000
2600,-19695.145111585567065,431.44700716888740999,342.04411228686319646,0.96614837664328456768,2067,64000
2700,-19608.670265206492331,414.41073965517171018,219.67425517909782684,0.96334388208118570951,2061,64000
2800,-19547.343184462759382,425.93166281533990514,-212.31707560234067955,0.95913714023803597897,2052,64000
2900,-19652.916311197393952,437.84876425331572136,-251.65983998218723627,0.96240905056048531296,2059,64000
3000,-19540.543274889947497,416.22433264458140911,-969.38362878778787035,0.95820230871733580447,2050,64000
3100,-19516.068659144279081,416.01784990181926105,-768.32788784916317582,0.95820230871733569344,2050,64000
3200,-19645.974061580986017,434.66201177579659998,-658.18320913870991262,0.96194163480013528122,2058,64000
3300,-19614.804834483249579,428.05404545521628279,-822.53677371495030002,0.96100680327943577286,2056,64000
3400,-19611.778911102268466,424.66956438657945228,-805.97807013811473098,0.96100680327943521775,2056,64000
3500,-19774.944274376524845,427.01342937334635508,-624.46276982439565018,0.96614837664328490074,2067,64000
3600,-19735.305001121942041,413.87921535239144077,-631.1475929768455444,0.96427871360188499583,2063,64000
3700,-19561.680554531030793,407.59338937776192324,-434.78567786564389053,0.95866972447768594723,2051,64000
3800,-19620.230066994550725,425.40465170163469111,65.888018970058851664,0.96287646632083545573,2060,64000
3900,-19512.833112717165932,428.76738800885806313,-77.575706051255821194,0.95960455599838612173,2053,64000
4000,-19356.360431743734807,425.59619965818296805,-371.27266912746381422,0.95259331959313697791,2038,64000
4100,-19264.738943426764308,421.23471818917045084,-928.34078891036585901,0.94838657774998769145,2029,64000
4200,-19219.948077592605841,428.36327160621908661,-1040.0692297591299393,0.94698433046893826237,2026,64000
4300,-19117.997201038895582,429.64735091469606232,-725.37180521215759654,0.94511466742753846848,2022,64000
4400,-19197.794818999343988,435.74733756981788702,-432.6452860032734975,0.94791916198963788176,2028,64000
4500,-19322.805139011539723,433.35791034345953676,-256.23919488427003444,0.95259331959313664484,2038,64000
4600,-19492.982550817807351,414.02838972251169025,-104.85159616770994262,0.96007197175873548733,2054,64000
4700,-19467.002636330238602,421.040854934222466,-302.26852160308436623,0.95960455599838589968,2053,64000
4800,-19384.963065443225787,432.63898917538199385,-524.92789466255874231,0.95539781415523661323,2044,64000
4900,-19453.892908675894432,430.88784230618415449,-430.34833894512303232,0.95820230871733602651,2050,64000
5000,-19424.908305189564999,422.02326766760143073,-467.82054848090041332,0.95680006143628626436,2047,64000
5100,-19338.120617440370552,419.9359366737567143,-681.44360738918203424,0.95306073535348712067,2039,64000
5200,-19385.336433772899909,439.23179960665686394,-632.24707581348684471,0.95493039839488702558,2043,64000
5300,-19472.654209294232714,440.52534577092177415,-175.61023638462495455,0.95960455599838612173,2053,64000
5400,-19390.931102008584276,420.55293328665737818,-268.67927363423211773,0.95680006143628626436,2047,64000
5500,-19564.45343226386467,418.49206464317347809,180.95503913511231531,0.96521354512258494829,2065,64000
5600,-19472.028985688841203,436.93697594428266484,-308.60301366404797818,0.95866972447768594723,2051,64000
5700,-19531.667005497714854,429.03075649350290632,-202.71527580675586933,0.96147421903978558255,2057,64000
