step,temperature,pressure,density
0,0,-0.64006960814232971568,0.58899999999999996803
100,0.036036534604959792605,-0.0278192839427201348,0.6620475330823806237
200,0.090673755020289403816,0.04348902338828911085,0.71514635074403265502
300,0.16314313258018803277,-0.055396960754102761437,0.76768718650933021053
400,0.26734391412259067566,-0.024014420404108043766,0.81011607472211843994
500,0.38596641127303743524,0.07178135624350090449,0.84540455408254888692
600,0.49103536717056073257,0.23664225631506999314,0.84866305705940492388
700,0.64857129071564578737,0.025771546509878170278,0.84023034679227870392
800,0.77659959066103201319,-0.1363093848159556698,0.80854267245478395054
900,0.87350217373691374512,0.32554524562384712372,0.77380632267143856229
1000,0.95086940135991593337,0.10272328780833807349,0.71735619260683836096
1100,1.0786233651214474083,0.17955166205929640189,0.66899395084703239256
1200,1.1592644758204977418,0.12812634850326892755,0.62089603018737105078
1300,1.1884384269063077433,0.21470648401520828208,0.58285714323254744773
1400,1.196621086335230455,-0.061299280282376751583,0.54519639362083482936
1500,1.1538733481075498233,-0.011584110202735146272,0.5222436520788348302
1600,1.1382871498346600614,0.031731743595331651786,0.51864059906763670948
1700,1.1836707670618511479,0.055048869091812710486,0.52724115168546736854
1800,1.1730490432002771417,0.29541435109289043703,0.54789255501823863614
1900,1.1436258685591607076,0.1845676547100677245,0.55975354164465829232
2000,1.1324754661874931738,0.065534317213048753903,0.57554547730782334991
2100,1.1195811410814653364,-0.064782498444321337527,0.58284726489582139308
2200,1.0894523692112232371,-0.025409656874323331699,0.59040191756162663239
2300,1.0754325345413171533,0.038995639487554592528,0.57830936766474894117
2400,1.1587524510849607218,-0.25781190150543042972,0.57351805894925933504
2500,1.2098224003496071965,-0.057146905974546843843,0.57061474578917392719
2600,1.1480432497252599511,0.10455136542875956285,0.560588259987662485
2700,1.1571031712876904685,0.27588065527363503371,0.57249017464552742762
2800,1.1584229226328142115,0.3190767310651762001,0.58608933655327044576
2900,1.1775215048144933583,-0.017589330217909183995,0.58634269457648591217
3000,1.0931624997908524488,-0.077844090438784582786,0.573176923960377116
3100,1.0607272802756673169,0.096890343785628968432,0.57152246203883849685
