step,temperature,pressure,density
0,0,-0.40318410567664125788,0.5999502453807359359
100,0.00045020349316108568445,-0.40520593326669401835,0.5999502453807359359
200,0.001172114466732534924,-0.40727625866523770037,0.5999502453807359359
300,0.0021388549697175427387,-0.40398341778651342127,0.5999502453807359359
400,0.0033375404817605086073,-0.39223841545964038824,0.5999502453807359359
500,0.0048825967586224828729,-0.39568469951774326576,0.5999502453807359359
600,0.0067857168772339319929,-0.38471726577464376851,0.5999502453807359359
700,0.0091901283013150533024,-0.37873865592649036405,0.5999502453807359359
800,0.012032323869314843351,-0.37325684033538436557,0.5999502453807359359
900,0.015684926302590312258,-0.34333744665774645899,0.5999502453807359359
1000,0.020600461494559275943,-0.35558859755699318006,0.5999502453807359359
1100,0.027477742779187658284,-0.32810013340359489575,0.5999502453807359359
1200,0.035256103015074959084,-0.30299845184741469595,0.5999502453807359359
1300,0.046710433083643317087,-0.31760362111463114054,0.5999502453807359359
1400,0.061003161167036912271,-0.29679117825894563154,0.5999502453807359359
1500,0.077147352894701426429,-0.24495574907155026612,0.5999502453807359359
1600,0.099145959120294696598,-0.25575580716182594321,0.5999502453807359359
1700,0.1260897237809792959,-0.25393461973848202584,0.5999502453807359359
1800,0.15921223755156044266,-0.21742878303862525624,0.5999502453807359359
1900,0.19955838102092893216,-0.11810716419397786214,0.5999502453807359359
2000,0.24858350968900497224,-0.12056728321511694935,0.5999502453807359359
2100,0.30431479689172508118,-0.043459014427636215305,0.5999502453807359359
2200,0.37469358172945210761,0.0063534342092305120739,0.5999502453807359359
2300,0.45715739400747856802,0.043707515972666928505,0.5999502453807359359
2400,0.53774334161761039308,0.077445678206454413028,0.5999502453807359359
2500,0.63169530294085873834,0.14907691883162166313,0.5999502453807359359
2600,0.73959468080716972427,0.24032399088041683788,0.5999502453807359359
2700,0.85152526142685802668,0.30764725657879210541,0.5999502453807359359
2800,0.9504623580403820382,0.41352507998051052374,0.5999502453807359359
2900,1.0326805812092332282,0.47116861124110981374,0.5999502453807359359
3000,1.0552109036552130839,0.44762295664008783236,0.5999502453807359359
3100,1.0063011432510555743,0.32266378778233584246,0.5999502453807359359
3200,0.96301251979407020976,0.20196110059711125384,0.5999502453807359359
3300,0.96922831979019785642,0.22958767288541456764,0.5999502453807359359
3400,1.0140558048297718674,0.36582308192854234852,0.5999502453807359359
3500,1.037510838643495692,0.38172981733657290748,0.5999502453807359359
3600,1.0055628257155115879,0.35619939279937101739,0.5999502453807359359
3700,0.97697568652504296338,0.26892498319554403174,0.5999502453807359359
3800,0.9765777339179585459,0.28033892523235875993,0.5999502453807359359
3900,1.0084880598240426597,0.30710935334260286433,0.5999502453807359359
4000,1.0235621760664492808,0.36420427945654859636,0.5999502453807359359
4100,1.0163857458013854096,0.32552850972964153531,0.5999502453807359359
4200,0.97567241068153631733,0.30331545931743658651,0.5999502453807359359
4300,0.97129769879857108528,0.28108369999919402549,0.5999502453807359359
4400,1.0055284862860913719,0.32314784191586048978,0.5999502453807359359
4500,1.0226003013252784601,0.42955016251538596928,0.5999502453807359359
4600,1.0102377758433007671,0.37915382133892133742,0.5999502453807359359
4700,0.98472651275235012491,0.31431665999539648571,0.5999502453807359359
4800,0.97704384995147419701,0.35477715151062405585,0.5999502453807359359
4900,1.001916999081570836,0.33054639768642013475,0.5999502453807359359
5000,1.0148491762578555342,0.3742485658442328833,0.5999502453807359359
5100,1.0135447742279668493,0.39259324133457390582,0.5999502453807359359
5200,0.99697053463272655716,0.31494405650425050247,0.5999502453807359359
5300,0.97444450046248576314,0.2983333262171681266,0.5999502453807359359
5400,0.98829820847575089449,0.33768838646287252514,0.5999502453807359359
5500,1.0184646226214340015,0.38449735314709587719,0.5999502453807359359
5600,1.0215893285933330681,0.39295697790532896354,0.5999502453807359359
5700,1.001939485620779946,0.32653074455969927081,0.5999502453807359359
5800,0.97473637558059011976,0.30435376475254360962,0.5999502453807359359
5900,0.98792468786851650453,0.30686116602407426113,0.5999502453807359359
6000,1.0139337484132122658,0.39402402139356268451,0.5999502453807359359
6100,1.0210253621167713067,0.39158092954340772973,0.5999502453807359359
6200,0.99823102699144528049,0.33066460350883564168,0.5999502453807359359
6300,0.97732674318926215928,0.32261120487282762825,0.5999502453807359359
6400,0.99526705623465705486,0.34054024814101296892,0.5999502453807359359
6500,1.0100375554150449187,0.40276906280643148817,0.5999502453807359359
6600,1.0173714644107174632,0.42412253060561372342,0.5999502453807359359
6700,0.99579788856343587344,0.38852711835582820488,0.5999502453807359359
6800,0.99083298358800164785,0.34150407042096009302,0.5999502453807359359
6900,0.99145599104724502215,0.33497915196935429405,0.5999502453807359359
7000,1.0055007358142264984,0.36022044542984416049,0.5999502453807359359
7100,1.0197720229917661694,0.38543265490817368857,0.5999502453807359359
7200,1.0088081112232600844,0.36891799756480186945,0.5999502453807359359
7300,0.98929272089385023037,0.36181797997428161162,0.5999502453807359359
7400,0.9838390122909700386,0.33057002421086423283,0.5999502453807359359
7500,1.003748954675334204,0.33068668184273708466,0.5999502453807359359
7600,1.0156840750717672783,0.34298858166565243666,0.5999502453807359359
7700,1.0168597879013443475,0.35034573737631963253,0.5999502453807359359
7800,1.0007975970137623634,0.34229622617780514071,0.5999502453807359359
7900,0.98357550320956299572,0.35184519846387030118,0.5999502453807359359
8000,1.0058147507437824597,0.29860235326015910351,0.5999502453807359359
8100,1.0018007998124025537,0.36693787100052538408,0.5999502453807359359
8200,1.0104965820313573932,0.4017721759536431736,0.5999502453807359359
8300,1.004427644923793661,0.34169789218868990011,0.5999502453807359359
8400,0.99726344771017594315,0.3039450950437535548,0.5999502453807359359
8500,0.98238468616686813739,0.38470651396192268034,0.5999502453807359359
8600,1.0086188597895049401,0.34022097495354880481,0.5999502453807359359
8700,1.0054050613564522454,0.37084287342841332213,0.5999502453807359359
8800,1.0040613964524525148,0.34305301579070290874,0.5999502453807359359
8900,0.99999255630534422679,0.30345771327251841454,0.5999502453807359359
9000,0.99250157426530838389,0.3576206067197794658,0.5999502453807359359
9100,0.99665218374063280216,0.38823984965034269434,0.5999502453807359359
9200,1.012882939053594944,0.37528952974609186555,0.5999502453807359359
9300,1.0050856951036073461,0.37429199669264207051,0.5999502453807359359
9400,1.0002294524835528833,0.35875005963639378104,0.5999502453807359359
9500,0.98731363822163109578,0.3254629779666975975,0.5999502453807359359
9600,0.98824292897497789667,0.39146609061070170021,0.5999502453807359359
9700,1.0060857853612736879,0.3924784734462858915,0.5999502453807359359
9800,1.0095832752860618431,0.37603710803940582075,0.5999502453807359359
9900,0.99826231780493523971,0.32453163830530568079,0.5999502453807359359
10000,0.9828606819903196179,0.33329138555392689991,0.5999502453807359359
10100,0.99183232197993265178,0.35467941677042935655,0.5999502453807359359
10200,1.0187757972523237004,0.38373340167692626679,0.5999502453807359359
10300,1.0153710041844301593,0.4039577140251581211,0.5999502453807359359
10400,0.98861338104942730887,0.38990948039215733711,0.5999502453807359359
10500,0.97685052450126819146,0.37406445434810775552,0.5999502453807359359
10600,0.99275256385653953828,0.3461873526190117345,0.5999502453807359359
10700,1.0242590875449317789,0.33573331509669135375,0.5999502453807359359
10800,1.0163495156304622746,0.40168264898206318403,0.5999502453807359359
10900,0.99757107338299078059,0.34465732768132151254,0.5999502453807359359
11000,0.98468229535238438466,0.34205563378423409215,0.5999502453807359359
11100,1.0022754059439249463,0.33697821271819133893,0.5999502453807359359
11200,1.0092622440328800071,0.40046641531161342176,0.5999502453807359359
11300,1.006982866220629047,0.38763318849584249559,0.5999502453807359359
11400,1.0008022601703319143,0.35431793969202657335,0.5999502453807359359
11500,0.98782861920745534956,0.36265619522260639229,0.5999502453807359359
11600,0.99697237460497611927,0.34497331088657234854,0.5999502453807359359
11700,1.0074968914596347247,0.4175306023343824946,0.5999502453807359359
11800,1.0080825719975714527,0.35474687002017540882,0.5999502453807359359
11900,1.0000002766821101119,0.38971650198383628316,0.5999502453807359359
12000,0.99552130313594600075,0.34961205727237099072,0.5999502453807359359
12100,0.98602609372677030297,0.33555582665582089907,0.5999502453807359359
12200,1.0002383158902681259,0.37583106614093636511,0.5999502453807359359
12300,1.0204582215882631591,0.33721523970963918071,0.5999502453807359359
12400,1.0050614180096029138,0.35705059281782164371,0.5999502453807359359
12500,0.98835466491894552465,0.36058223723530941074,0.5999502453807359359
12600,0.98802634174335479678,0.37359966055412557884,0.5999502453807359359
12700,1.0037051495533528822,0.36680375072179205453,0.5999502453807359359
12800,1.0152513716131748023,0.38215864291965778721,0.5999502453807359359
12900,1.0034994446432925486,0.3653732796624987178,0.5999502453807359359
13000,0.99670720631375331333,0.33936214297996969425,0.5999502453807359359
13100,0.99581715291888284192,0.33924694751416112348,0.5999502453807359359
13200,0.99343127986937196372,0.38026678817825826373,0.5999502453807359359
13300,1.0102328409369927265,0.34287009795313955207,0.5999502453807359359
13400,0.99923591782896337143,0.37403450441473928834,0.5999502453807359359
13500,0.99329136758792568873,0.32616237904477712872,0.5999502453807359359
